country,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136000,293000,502000,730000,902000,1210000,1490000,1830000,2140000,2470000,2830000,3290000,3740000,4390000,5060000,5550000,6180000,6720000,7500000,8180000,8940000,9590000,10600000,11500000,12500000,13500000,14500000,15600000,16800000,18000000,19100000,20400000,21800000,23400000,24900000,26300000,28000000,29800000,31800000,33900000,36400000,38800000,41300000,43700000,46200000,49000000,52000000,54900000,58000000,61200000,64200000,67600000,71100000,75400000,80000000,84800000,90100000,95300000,101000000,106000000,112000000,118000000,124000000,131000000,136000000,144000000,152000000,159000000,167000000,176000000,186000000,195000000,206000000,216000000,224000000,232000000,241000000,248000000,255000000,264000000,275000000,287000000,298000000,308000000,322000000,334000000,349000000,363000000,377000000,391000000,404000000,419000000,434000000,450000000,466000000,481000000,497000000,512000000,530000000,546000000,567000000,587000000,601000000,619000000,640000000,657000000,674000000,696000000,718000000,741000000,764000000,790000000,817000000,843000000,868000000,895000000,921000000,951000000,983000000,1020000000,1060000000,1100000000,1150000000,1200000000,1250000000,1300000000,1360000000,1420000000,1480000000,1540000000,1600000000,1650000000,1710000000,1770000000,1830000000,1890000000,1950000000,2020000000,2070000000,2120000000,2170000000,2220000000,2280000000,2340000000,2400000000,2450000000,2500000000,2560000000,2620000000,2680000000,2740000000,2800000000,2870000000,2940000000,3010000000,3070000000,3130000000,3180000000,3240000000,3290000000,3350000000,3410000000,3460000000,3520000000,3570000000,3630000000,3670000000,3720000000,3770000000,3810000000,3850000000,3890000000,3920000000,3960000000,3990000000,4030000000
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11000,36700,62300,91700,125000,161000,191000,235000,282000,319000,359000,403000,451000,517000,601000,722000,862000,950000,1070000,1160000,1290000,1460000,1650000,1830000,2020000,2220000,2420000,2610000,2820000,3180000,3530000,3830000,4180000,4530000,4880000,5240000,5610000,6000000,6350000,6740000,7060000,7400000,7740000,8070000,8400000,8730000,9070000,9420000,9760000,10100000,10500000,10800000,11200000,11700000,12100000,12500000,12900000,13300000,13800000,14300000,14800000,15300000,15800000,16300000,16900000,17500000,18100000,18800000,19400000
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3670,11000,14700,18300,22000,25700,29300,36700,47700,58700,69700,80700,95300,110000,125000,139000,161000,183000,202000,227000,253000,279000,304000,334000,363000,392000,418000,444000,477000,513000,550000,590000,631000,675000,722000,770000,818000,873000,931000,990000,1050000,1110000,1170000,1240000,1320000,1390000,1470000,1550000,1630000,1730000,1840000,1940000,2060000,2200000,2350000,2490000,2670000,2840000,3000000,3170000,3330000,3490000,3660000,3840000,4010000,4190000,4370000,4560000
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7330,29300,55000,403000,763000,1360000,1980000,2600000,3520000,4510000,5540000,6610000,7720000,8760000,9790000,11000000,12300000,14000000,15600000,17200000,18800000,21200000,23800000,26900000,30400000,35100000,41100000,47500000,53800000,60200000,65800000,71200000,78000000,84400000,90600000,96900000,105000000,112000000,119000000,128000000,137000000,147000000,157000000,166000000,176000000,187000000,199000000,211000000,227000000,244000000,262000000,280000000,299000000,318000000,338000000,359000000,380000000,398000000,417000000,436000000,457000000,477000000,497000000,518000000,539000000,561000000,582000000,603000000,627000000,652000000,676000000,701000000
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25700,51300,77000,103000,128000,154000,191000,235000,304000,396000,631000,1100000,1710000,2380000,3150000,3860000,4590000,5320000,6110000,6980000,7960000,8990000,10100000,11100000,11900000,12900000,14000000,15300000,16500000,17600000,18800000,20100000,21400000,22100000,22800000,23700000,24600000,25500000,26700000,28000000,29100000,30500000,31800000,33500000,35200000,36700000,38500000,40700000,43000000,45400000,48000000,51100000,54700000,59000000,63200000,67800000,73000000,79100000,86500000,94600000,102000000,112000000,125000000,138000000,155000000,174000000,193000000,215000000,234000000,249000000,264000000,281000000,302000000,318000000,335000000,357000000,381000000,395000000,417000000,441000000,460000000,482000000,503000000,524000000,547000000,572000000,598000000,627000000,657000000,686000000,717000000,751000000,786000000,822000000,858000000,890000000,931000000,976000000,1020000000,1060000000,1100000000,1140000000
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11000,95300,136000,444000,535000,715000,1140000,2000000,2690000,3150000,3710000,4240000,4710000,5210000,5760000,6290000,6860000,7730000,8650000,9680000,10700000,11600000,12500000,13300000,14100000,14800000,15500000,16400000,18600000,21600000,25600000,29400000,33500000,37900000,42300000,46500000,50900000,57100000,64500000,74800000,85400000,96300000,107000000,119000000,129000000,139000000,151000000,165000000,178000000,194000000,211000000,229000000,251000000,276000000,304000000,331000000,350000000,373000000,393000000,415000000,438000000,463000000,487000000,513000000,544000000,579000000,616000000,656000000,699000000,744000000,795000000,851000000,908000000,972000000,1040000000,1110000000,1190000000,1260000000,1330000000,1410000000,1480000000,1560000000,1660000000,1740000000,1840000000,1930000000,2040000000,2160000000,2280000000,2420000000,2550000000,2670000000,2820000000,2970000000,3140000000,3310000000,3500000000,3690000000,3900000000,4090000000,4310000000,4520000000,4730000000,4960000000,5180000000,5410000000,5650000000,5890000000
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268000,590000,979000,1400000,1870000,2330000,2860000,3450000,4050000,4660000,5280000,5860000,6510000,7630000,8860000,9910000,11200000,12400000,13600000,14800000,16300000,17800000,19400000,21400000,23400000,25500000,27700000,30000000,32400000,34700000,36900000,38700000,40400000,42300000,43900000,45900000,47800000,50300000,52700000,55200000,57700000,60900000,64200000,68200000,72700000,77700000,82100000,87500000,93300000,98900000,105000000,110000000,116000000,123000000,129000000,135000000,142000000,149000000,155000000,162000000,168000000,175000000,181000000,187000000,193000000,200000000,207000000,214000000,221000000
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11000,22000,33000,44000,73300,110000,147000,180000,227000,275000,297000,319000,341000,367000,392000,422000,447000,473000,502000,546000,583000,649000,737000,766000,818000,880000,942000,1000000,1070000,1140000,1200000,1270000,1340000,1400000,1480000,1550000,1630000,1730000,1830000,1950000,2010000,2080000,2150000,2210000,2290000,2380000,2500000,2810000,2990000,3480000,3940000,8270000,14600000,22300000,29400000,36900000,45100000,53000000,59400000,66200000,73100000,82500000,89400000,97100000,104000000,110000000,116000000,122000000,128000000
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14700,22000,25700,36700,51300,69700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,777000,1570000,2430000,3200000,3780000,4400000,5000000,5630000,6230000,6940000,7710000,8470000,9020000,9570000,9980000,10500000,11000000,11500000,12200000,12800000,13500000,14100000,14800000,15500000,16300000
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33000,62300,84300,106000,121000,136000,150000,169000,194000,227000,268000,304000,,,,,,,,,,,,,,,,,,,,10400000,20800000,31700000,43000000,55200000,68100000,81900000,96400000,112000000,127000000,143000000,161000000,179000000,198000000,218000000,239000000,260000000,283000000,307000000,331000000,355000000,381000000,405000000,431000000,457000000,483000000,511000000,539000000,567000000,595000000,623000000,660000000,695000000,719000000,738000000,758000000,776000000,795000000,814000000,831000000,846000000,862000000,877000000,893000000,910000000,927000000,944000000,961000000,981000000,999000000,1010000000,1030000000,1050000000,1070000000,1090000000,1110000000,1120000000,1140000000,1160000000,1180000000
Eswatini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3670,7330,11000,14700,18300,22000,25700,29300,33000,36700,69700,73300,,,84300,165000,367000,594000,873000,1180000,1540000,1940000,2320000,2700000,3010000,3340000,3680000,4020000,4460000,4910000,5370000,5810000,6240000,6520000,6850000,7290000,7750000,8180000,8620000,9060000,10000000,10900000,11700000,12400000,13500000,14600000,15600000,16800000,18000000,19200000,20400000,21500000,22700000,23700000,24800000,25800000,26800000,27900000,29000000,30100000,31100000,32200000,33500000,35000000,35900000,36900000,38000000,39200000,40400000
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11000,22000,33000,,,,,36700,40300,128000,191000,290000,473000,744000,972000,1210000,1540000,1860000,2190000,2540000,2890000,3280000,3700000,4110000,4750000,5580000,6650000,8380000,10000000,11700000,13600000,15000000,16700000,18400000,19700000,20800000,21900000,23300000,25100000,26900000,28800000,30300000,32100000,33700000,35500000,37700000,40300000,42900000,45700000,48700000,51700000,54600000,57600000,59800000,62300000,65100000,68100000,71300000,74400000,77800000,82100000,86500000,91400000,96600000,102000000,107000000,113000000,119000000,126000000,132000000,139000000,147000000,157000000,169000000,182000000,196000000,210000000,225000000
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121000,253000,411000,579000,737000,909000,1100000,1270000,1440000,1640000,1840000,2010000,2240000,2480000,2900000,3250000,3570000,3930000,4320000,4760000,5280000,5830000,6400000,7030000,7710000,8330000,8810000,9580000,10300000,11100000,11900000,13000000,13800000,14500000,15100000,15700000,16300000,16800000,17300000,17900000,18700000,19400000,20100000,20900000,21600000,22400000,23200000,24000000,24700000,25500000,26400000,27400000,28300000,29300000,30700000,31700000,32900000,34100000,35000000,35700000,36900000,38000000,39100000,40400000,42000000,44100000,46200000,48200000,50400000
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36700,110000,183000,260000,308000,370000,440000,502000,590000,660000,752000,865000,957000,1050000,1170000,1250000,1350000,1460000,1590000,1670000,1770000,1870000,1990000,2100000,2250000,2470000,2600000,2720000,2850000,3010000,3220000,3440000,3630000,3820000,4040000,4280000,4580000,5090000,5580000,6320000,6920000,7340000,7740000,8250000,8780000,9370000,9990000,10900000,12300000,13600000,14600000,15900000,17400000,19100000,19800000,19900000,20100000,20200000,20300000,20500000,20800000,21100000,21800000,23200000,25000000,26700000,28300000,31200000,34300000,37600000,40300000,43300000,46300000,49600000,53500000,57000000,62000000,68800000,74500000,79400000,81700000,84900000,87800000,91700000,94400000,95100000,98400000,104000000,112000000,117000000,124000000,132000000,140000000,148000000,157000000,168000000,180000000,193000000,203000000,217000000,232000000,247000000,264000000,283000000,306000000,331000000,361000000,389000000,423000000,460000000,501000000,541000000,586000000,635000000,682000000,728000000,779000000,829000000,881000000,935000000,993000000,1040000000,1090000000,1130000000,1170000000,1220000000,1270000000,1330000000,1380000000,1440000000,1490000000,1550000000,1600000000,1660000000,1720000000,1780000000,1840000000,1910000000,1970000000,2020000000,2080000000,2140000000,2210000000,2280000000,2350000000,2410000000,2480000000,2540000000,2600000000,2660000000,2720000000,2780000000,2830000000,2880000000,2930000000,2970000000,3020000000,3070000000,3110000000
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2240000,,4420000,,,,,,6540000,8600000,10800000,12900000,15000000,17300000,19800000,22500000,24800000,27400000,30300000,33300000,36500000,39700000,43200000,47200000,51200000,57200000,63400000,69500000,76000000,82100000,88800000,96000000,105000000,114000000,125000000,136000000,148000000,160000000,172000000,185000000,200000000,214000000,230000000,248000000,266000000,287000000,304000000,321000000,341000000,361000000,382000000,408000000,437000000,470000000,505000000,540000000,575000000,610000000,648000000,689000000,733000000,777000000,824000000,873000000,927000000,981000000,1040000000,1090000000,1140000000,1190000000,1260000000,1320000000,1380000000,1450000000,1510000000,1580000000,1640000000,1710000000,1790000000,1870000000,1950000000,2030000000,2120000000,2200000000,2280000000,2360000000,2450000000,2540000000,2630000000,2730000000,2830000000,2930000000,3030000000,3130000000,3240000000,3350000000,3460000000,3580000000,3710000000,3840000000,3960000000,4090000000,4210000000,4340000000,4480000000,4620000000,4770000000,4920000000,5070000000,5230000000,5390000000,5560000000,5680000000,5780000000,5890000000,6010000000,6120000000,6230000000,6390000000,6520000000,6690000000,6870000000,7080000000,7290000000,7510000000,7720000000,7930000000,8170000000,8400000000,8620000000,8810000000,9010000000,9220000000,9410000000,9610000000,9830000000,10000000000,10200000000,10400000000,10500000000,10600000000,10700000000,10800000000,10900000000,11100000000,11300000000,11500000000,11700000000,11900000000,12100000000,12400000000,12600000000,12800000000,13000000000,13300000000,13600000000,13800000000,14100000000,14400000000,14700000000,15000000000,15300000000,15600000000,16000000000,16300000000,16700000000,17100000000,17500000000,18000000000,18400000000,18900000000,19400000000,19900000000,20400000000,20900000000,21400000000,21900000000,22400000000,22900000000,23400000000,23800000000,24200000000,24600000000,25000000000,25400000000,25800000000,26200000000,26600000000,27000000000,27400000000,27800000000,28200000000,28600000000,29000000000,29400000000,29800000000,30200000000,30700000000,31100000000,31500000000,31900000000,32300000000,32800000000,33200000000,33600000000,34000000000,34400000000,34800000000,35200000000,35500000000,35900000000,36300000000,36600000000,37000000000,37300000000,37600000000,38000000000
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22000,154000,319000,407000,480000,671000,887000,1270000,2280000,4240000,5680000,7760000,10600000,13300000,18700000,24100000,29500000,35200000,41500000,49100000,55800000,62400000,69000000,75600000,81100000,87100000,93400000,98300000,102000000,107000000,112000000,117000000,121000000,126000000,131000000,136000000,140000000,145000000,150000000,155000000,160000000,164000000,169000000,174000000,178000000,183000000,188000000,192000000,196000000,200000000,204000000,209000000,214000000,219000000,224000000,230000000,235000000,240000000,246000000,251000000
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14700,29300,40300,51300,66000,80700,99000,121000,147000,165000,183000,205000,231000,260000,290000,319000,352000,385000,422000,469000,517000,572000,638000,700000,763000,862000,961000,1070000,1210000,1360000,1520000,1680000,1840000,2000000,2170000,2340000,2500000,2680000,2870000,3050000,3250000,3440000,3640000,3850000,4060000,4280000,4500000,4720000,4960000,5240000,5510000,5810000,6110000,6410000,6740000,7060000,7410000,7770000,8130000,8510000,8950000,9390000,9850000,10300000,10800000,11300000,11900000,12400000,13100000
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.1,185,252,336,,,,,,,,,,,,,,,,,858,,,,,2440,,,4660,7010,10100,14100,17600,21400,25600,29600,42200,56700,68800,85200,103000,127000,152000,175000,203000,235000,275000,316000,370000,425000,489000,557000,628000,710000,792000,882000,974000,1070000,1170000,1280000,1410000,1550000,1690000,1860000,2030000,2230000,2440000,2670000,2930000,3240000,3580000,3940000,4280000,4620000,4990000,5320000,5700000,6130000,6550000,7000000,7450000,7910000,8430000,8990000,9500000,9970000,10500000,10900000,11100000,11300000,11400000,11600000,11800000,12000000,12200000,12500000,12800000,13200000,13700000,14300000,15000000,15800000,16800000,17900000,19200000,20700000,22400000,24100000,26000000,27900000,30100000,32000000,33400000,35100000,36700000,38400000,40400000,42700000,45100000,47900000,51000000,54400000,58000000,61900000,66100000,70800000,76000000,81700000,87700000,98400000,109000000,121000000,133000000,146000000,159000000,174000000,189000000,205000000,221000000,239000000,257000000,276000000,296000000,317000000,339000000,362000000,385000000,410000000,435000000,461000000,488000000,514000000,541000000,568000000,595000000,624000000,654000000,683000000,713000000,743000000,770000000,792000000,807000000,817000000,823000000,825000000,829000000,834000000,839000000,843000000,848000000,851000000,855000000,858000000,863000000,868000000,874000000,880000000,885000000,892000000,898000000,906000000,914000000,922000000,931000000,940000000,950000000,961000000,971000000
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469000,950000,1390000,1840000,2380000,2930000,3500000,4130000,4920000,5460000,6010000,6550000,7560000,8600000,9540000,12200000,13100000,14100000,15000000,16000000,16900000,17800000,18700000,19700000,22100000,25500000,29000000,32300000,35700000,39200000,42800000,46900000,50100000,54400000,58600000,63200000,67700000,71300000,76100000,80700000,84200000,88600000,93000000,97900000,103000000,109000000,116000000,123000000,132000000,141000000,152000000,163000000,174000000,186000000,199000000,213000000,226000000,240000000,255000000,272000000,291000000,312000000,336000000,365000000,396000000,429000000,464000000,498000000,535000000,576000000,621000000,671000000,728000000,791000000,854000000,923000000,998000000,1080000000,1150000000,1240000000,1330000000,1430000000,1500000000,1600000000,1700000000,1810000000,1910000000,2020000000,2150000000,2280000000,2420000000,2580000000,2740000000,2900000000,3060000000,3230000000,3420000000,3620000000,3820000000,4050000000,4260000000,4480000000,4710000000,4950000000,5210000000,5480000000,5770000000,6070000000,6400000000,6720000000,7040000000,7390000000,7740000000,8120000000,8490000000,8930000000,9380000000,9820000000,10300000000,10700000000,11200000000,11800000000,12300000000,12700000000,13200000000,13700000000,14300000000,14600000000,15100000000,15500000000,16000000000,16300000000,16800000000,17200000000,17700000000,18100000000,18600000000,19200000000,19600000000,20000000000,20400000000,20700000000,21200000000,21600000000,22100000000,22700000000,23300000000,23900000000,24600000000,25200000000,25900000000,26600000000,27200000000,27300000000,27600000000,27900000000,28300000000,28700000000,29200000000,29800000000,30400000000,31000000000,31700000000,32400000000,33200000000,34000000000,34700000000,35500000000,36300000000,37100000000,38000000000,39000000000,39900000000,40900000000,41800000000,42800000000,43800000000,44800000000,45800000000,46900000000,47900000000,49000000000,50100000000,51100000000,52200000000,53200000000,54300000000,55400000000,56500000000,57600000000,58600000000,59600000000,60600000000,61700000000,62700000000,63800000000,64800000000,65800000000,66800000000,67900000000,68800000000,69800000000,70700000000,71700000000,72600000000,73600000000,74500000000,75400000000,76300000000,77200000000,78100000000,79000000000,79900000000,80800000000,81600000000,82500000000,83300000000,84100000000,85000000000,85800000000,86600000000,87400000000,88200000000,89000000000,89800000000,90600000000,91400000000
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638000,1510000,2380000,3400000,4410000,5600000,6670000,7970000,9330000,10700000,12100000,13500000,14900000,16600000,18300000,20000000,21400000,22900000,24700000,26400000,29000000,31300000,33700000,36200000,39100000,41900000,44300000,47300000,50200000,52900000,55400000,58500000,61500000,65100000,67700000,71000000,74100000,77300000,80700000,84000000,87800000,92000000,95700000,100000000,105000000,110000000,116000000,122000000,128000000,135000000,141000000,147000000,155000000,162000000,169000000,176000000,185000000,195000000,204000000,211000000,221000000,232000000,247000000,261000000,276000000,292000000,308000000,326000000,344000000
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169000,253000,447000,649000,946000,1120000,1320000,1470000,1630000,,,,1640000,,,,1640000,,,,,1640000,,,,2010000,2340000,2670000,2980000,3360000,3720000,4180000,4430000,4840000,5260000,5600000,6000000,6350000,6630000,6890000,7320000,8050000,8610000,9330000,10200000,,11600000,11600000,11600000,11700000,11800000,11900000,12000000,12700000,13400000,14100000,15000000,16300000,18300000,20100000,22400000,24800000,27500000,30400000,33100000,35800000,38100000,40900000,43800000,47200000,50800000,53600000,53900000,54100000,54300000,54500000,54700000,54800000,54900000,55000000,55200000,56500000,58200000,62300000,66900000,71700000,76600000,81700000,87600000,93900000,101000000,108000000,116000000,126000000,136000000,146000000,158000000,171000000,188000000,207000000,226000000,249000000,274000000,298000000,326000000,358000000,395000000,431000000,469000000,512000000,559000000,607000000,657000000,708000000,759000000,810000000,865000000,921000000,981000000,1040000000,1100000000,1170000000,1240000000,1330000000,1410000000,1490000000,1580000000,1670000000,1750000000,1840000000,1940000000,2030000000,2130000000,2230000000,2340000000,2450000000,2550000000,2660000000,2780000000,2890000000,3010000000,3120000000,3220000000,3320000000,3410000000,3500000000,3590000000,3670000000,3740000000,3810000000,3890000000,3960000000
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7330,18300,29300,40300,51300,62300,73300,84300,99000,114000,136000,154000,180000,194000,216000,238000,268000,304000,345000,392000,436000,484000,532000,587000,623000,671000,719000,766000,818000,865000,913000,972000,1030000,1100000,1160000,1220000,1290000,1360000,1460000,1560000,1660000,1770000,1890000,2010000,2160000,2310000,2460000,2630000,2810000,3000000,3190000,3380000,3590000,3810000,4010000,4230000,4460000,4700000,4950000,5200000,5460000,5720000,5990000,6290000,6530000,6790000,7060000,7320000,7590000
